GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projeto2_esinf,com.mycompany.projeto2_esinf,Exercicios,8,365,6,32,2,86,6,19,1,5
Projeto2_esinf,com.mycompany.projeto2_esinf,Main,205,0,8,0,28,0,6,0,2,0
Projeto2_esinf,com.mycompany.projeto2_esinf,Metro,2,36,1,3,1,10,1,5,0,4
Projeto2_esinf,com.mycompany.projeto2_esinf,Tempo,323,324,17,11,56,59,18,16,5,15
Projeto2_esinf,com.mycompany.projeto2_esinf,Percurso,85,215,0,0,11,62,5,19,5,19
Projeto2_esinf,com.mycompany.projeto2_esinf,Estacao,6,169,5,11,3,39,5,17,0,14
Projeto2_esinf,com.mycompany.projeto2_esinf,LerLinhaEstacoes,4,164,1,15,2,35,1,13,0,6
Projeto2_esinf,com.mycompany.projeto2_esinf,PercursoComEstacoesIntermedias,4,350,6,26,2,62,6,18,0,8
Projeto2_esinf,Generic,Vertex,55,350,11,39,11,70,11,31,1,16
Projeto2_esinf,Generic,GraphAlgorithms,11,870,9,97,2,184,10,56,1,12
Projeto2_esinf,Generic,Edge,26,292,15,49,4,79,14,33,0,15
Projeto2_esinf,Generic,Graph,118,685,29,85,27,155,25,56,1,23
